movie_id,country_id
2277150,5
2277150,36
1646967,5
120524,5
141098,5
119008,5
3294634,31
4114762,44
1225822,5
103759,5
101507,5
248667,5
1582507,5
1582507,3
1216492,5
1216492,39
1216496,32
2139965,5
898367,5
1235522,5
1334102,1
1334102,5
452625,5
452625,3
237572,5
3084836,62
373469,5
364725,5
364725,2
816442,5
816442,2
111161,5
3814486,31
88763,5
2096673,5
2096672,5
1291150,5
1758595,1
1758595,0
1758595,19
1758595,7
211915,0
211915,2
83907,5
58461,6
58461,12
58461,26
3079380,5
102975,5
59592,0
59592,6
4008758,7
1049413,5
2326554,5
119177,5
119174,5
1887776,3
1437358,12
2388254,63
449086,5
1600196,5
40202,5
119488,5
485985,5
1937118,0
1937118,5
1937118,7
4215352,5
2883512,5
427312,5
1053810,5
109642,5
2465578,6
2465578,0
3592542,6
3592542,46
758730,5
46688,0
46688,6
1183665,1
1183665,39
1183665,12
1183665,0
1183665,4
408236,5
408236,1
455944,5
1764285,1
3787590,1
3787590,0
3787590,5
844286,5
799954,1
799954,5
951335,5
462346,5
2358891,6
2358891,0
118755,1
118755,5
816711,5
816711,34
1410063,24
1410063,11
825236,0
825236,27
2070862,5
2032557,5
2032557,1
2032557,64
1125849,5
1125849,0
99487,5
267913,5
267913,16
1535438,5
2192888,19
2109184,5
48947,5
